URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale loans,2022-07-20,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,103,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-27,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,65,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-07-25,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,98,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-04-21,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,193,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-04-09,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,205,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-08-13,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,79,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-10-20,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,11,1,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale loans,2022-06-17,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,136,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-09-14,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,47,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-05-01,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,183,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-08-17,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,75,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-07-05,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,118,0,0,NA,NA,2
