,date,audience,clicks,spend,impressions,reach,total_sessions,completions_F_T,Audience_1,Audience_2,Audience_3,Audience_4,Audience_5,Audience_6,Close_Faster,Closer_Twins,Competitive_Opportunity,SEM_Ads,Unfair_Advantage,Domain_Dsiplay,Facebook,Google_SEM,Linkedin,OTT,User_ID_Display
8833,16/10/2022,3,5,34.873115,6707,3113,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8834,16/10/2022,3,0,0,159,13,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8835,16/10/2022,3,2,35.348842,6776,3344,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8836,16/10/2022,3,1,0,868,30,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8837,16/10/2022,3,0,0,1887,46,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8838,16/10/2022,4,21,68.453428,13582,7170,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8839,16/10/2022,4,28,69.046746,13743,7274,31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8840,16/10/2022,4,4,23.00552612,218,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
8841,16/10/2022,4,11,0,4309,743,7,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8842,16/10/2022,4,6,0,5355,679,7,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8843,16/10/2022,4,0,13.69664003,137,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8844,16/10/2022,4,0,0,1123,59,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8845,16/10/2022,4,3,0,4027,368,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8846,16/10/2022,4,21,64.114668,12609,7008,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8847,16/10/2022,4,39,0,51668,2483,46,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8848,16/10/2022,4,23,44.96,2722,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8849,16/10/2022,4,2,0,752,35,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8850,16/10/2022,4,12,0,18723,1114,11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8851,16/10/2022,4,5,24.75961454,241,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8852,16/10/2022,4,18,0,19828,1550,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8853,16/10/2022,4,2,14.64907224,181,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8854,16/10/2022,5,22,62.579717,11989,1819,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8855,16/10/2022,5,10,0,2343,57,10,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8856,16/10/2022,5,5,11.350474,2295,700,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
