...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
2214,2022-05-17,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic,167,0
2215,2022-05-17,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,167,0
2216,2022-05-17,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,167,0
2217,2022-05-18,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,166,0
2218,2022-05-18,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),21,General traffic,166,0
2219,2022-05-19,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,165,0
2220,2022-05-19,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,165,0
2221,2022-05-19,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic,165,0
2222,2022-05-19,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,165,0
2223,2022-05-20,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,164,0
2224,2022-05-20,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,164,0
